epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.29,2.36322,48.7058,0.78208,0.008,0.56522,0.00546,0.00259,2.09805,148.308,0.81599,0.00064,0.00064,0.00064
2,355.241,2.30642,7.46834,0.78779,0.00072,0.21739,0.00023,9e-05,2.33484,52.4232,0.8584,0.00125492,0.00125492,0.00125492
3,529.601,2.49865,3.4737,0.81982,0.00034,0.10145,0.00016,7e-05,2.55467,8.51236,0.93029,0.00181705,0.00181705,0.00181705
4,710.407,2.59679,2.22954,0.83603,0.77467,0.24922,0.30788,0.09387,2.79138,3.5349,0.89608,0.0017624,0.0017624,0.0017624
5,900.925,2.48182,1.77474,0.80845,0.80298,0.5942,0.68317,0.25052,2.31203,1.54334,0.85999,0.0016832,0.0016832,0.0016832
6,1089.34,2.31198,1.39926,0.79185,0.75418,0.5942,0.64182,0.24698,2.27877,1.5544,0.85631,0.001604,0.001604,0.001604
7,1277.38,2.32079,1.25433,0.76524,0.85156,0.73913,0.86394,0.4049,1.86683,1.12687,0.78813,0.0015248,0.0015248,0.0015248
8,1476.79,2.16343,1.04353,0.7636,0.6897,0.73913,0.73865,0.30994,2.03696,1.18824,0.79305,0.0014456,0.0014456,0.0014456
9,1667.97,2.21782,1.02692,0.78095,0.58148,0.7249,0.70462,0.31339,1.87445,1.11384,0.7866,0.0013664,0.0013664,0.0013664
10,1862.05,1.9634,0.95554,0.75888,0.8029,0.7971,0.84527,0.42474,1.64127,0.92119,0.76732,0.0012872,0.0012872,0.0012872
11,2061.96,1.79704,0.88165,0.74875,0.94647,0.91304,0.95878,0.44087,1.73364,0.96388,0.77144,0.001208,0.001208,0.001208
12,2265.1,1.67971,0.83568,0.75059,0.97138,0.92754,0.96705,0.54939,1.5357,0.7525,0.76074,0.0011288,0.0011288,0.0011288
13,2467.99,1.83979,0.89739,0.72436,0.90171,0.95652,0.95475,0.55918,1.53234,0.74218,0.76578,0.0010496,0.0010496,0.0010496
14,2677.71,1.77217,0.80561,0.72446,0.93258,0.92754,0.95788,0.53221,1.47994,0.68761,0.76715,0.0009704,0.0009704,0.0009704
15,2883.04,1.66592,0.76973,0.74982,0.95487,0.91999,0.93512,0.49261,1.67689,0.7656,0.78,0.0008912,0.0008912,0.0008912
16,3080.47,1.60073,0.75838,0.75233,0.98396,0.94203,0.97158,0.56345,1.46447,0.68712,0.75936,0.000812,0.000812,0.000812
17,3283.1,1.55523,0.72364,0.74092,0.96969,0.92717,0.9752,0.57033,1.53229,0.74498,0.76584,0.0007328,0.0007328,0.0007328
18,3485.68,1.56414,0.73526,0.74482,0.92582,0.90447,0.96729,0.5428,1.46302,0.78024,0.76475,0.0006536,0.0006536,0.0006536
19,3681.83,1.54962,0.70068,0.75228,0.95446,0.91304,0.96793,0.54852,1.46789,0.69684,0.76623,0.0005744,0.0005744,0.0005744
20,3885.67,1.50581,0.68539,0.73573,0.99696,0.91304,0.95708,0.60088,1.27709,0.67532,0.75573,0.0004952,0.0004952,0.0004952
21,4085.21,1.42339,0.62581,0.73315,1,0.939,0.96367,0.62968,1.20102,0.63043,0.74873,0.000416,0.000416,0.000416
22,4271.49,1.39475,0.65221,0.71607,0.99648,0.92754,0.96122,0.63225,1.26721,0.63134,0.75749,0.0003368,0.0003368,0.0003368
23,4488.44,1.42675,0.59322,0.77081,0.98477,0.93704,0.96773,0.65622,1.21546,0.58959,0.75122,0.0002576,0.0002576,0.0002576
24,4702.78,1.38534,0.6035,0.71956,0.99885,0.92754,0.97408,0.65686,1.22983,0.58685,0.75367,0.0001784,0.0001784,0.0001784
25,4945.87,1.31994,0.59338,0.75202,0.996,0.92754,0.9776,0.66267,1.22045,0.55964,0.75334,9.92e-05,9.92e-05,9.92e-05
